BGC0000137	CP000850.1	1388770-1480342	39	0	0	0
BGC0000138	AY442225.1	1-19055	11	0	0	0
BGC0000140	GQ332353.1	1-15000	11	0	0	0
BGC0000141	AJ871581.1	1-105657	58	0	0	0
BGC0000142	CP000667.1	3103236-3185224	25	0	0	0
BGC0000143	DQ630728.1	1-25809	8	0	0	0
BGC0000144	JN033543.1	1-127961	49	0	0	49
BGC0000145	EF397502.1	1-32637	21	0	0	0
BGC0000146	AB514562.1	1-21000	6	0	0	0
BGC0000147	U24241.2	1-67523	13	0	0	7
BGC0000148	AY007564.1	1-80161	23	0	0	0
BGC0000149	AM407731.1	1-90501	14	0	0	12
BGC0000150	CP000667.1	3027087-3086780	47	0	0	47
BGC0000151	AM238664.2	488938-634937	25	0	0	25
BGC0000152	U34740.1	1-59725	17	0	0	0
BGC0000153	AJ421825.1	1-66808	20	0	0	11
BGC0000154	EQ962655.1	1805625-1837759	13	0	1	9
BGC0000155	FJ943499.1	1-5129	2	0	0	0
BGC0000156	JN257714.1	1-13275	5	0	0	3
BGC0000157	DQ983361.1	1-70100	14	0	0	0
BGC0000158	EU035755.1	1-78527	21	0	0	10
BGC0000159	EF990140.1	1-94050	29	0	0	7
BGC0000160	CH476602.1	89034-116126	9	0	0	0
BGC0000161	CH476594.1	399827-432585	11	0	2	5
BGC0000162	EU443633.1	1-108236	45	0	0	0
BGC0000163	FJ462704.1	1-169690	52	0	0	0
BGC0000164	AB193609.1	1-113234	33	0	0	0
BGC0000165	HQ011923.1	6044-88527	31	0	0	8
BGC0000166	U78289.1	1-43280	7	0	0	0
BGC0000167	AB086653.1	1-64492	20	0	0	0
BGC0000168	GU574477.1	1-51400	22	0	4	0
BGC0000170	ACJE01000012.1	25033-49030	10	0	0	10
BGC0000171	FR878059.1	1-52580	31	0	0	10
BGC0000172	AXBT01000013.1	84598-132409	22	0	0	0
BGC0000173	JX173632.1	1-67546	14	0	0	2
BGC0000174	DQ889941.1	1-72988	5	0	0	0
BGC0000175	JX014302.1	1-45467	18	0	0	10
BGC0000176	AJ634062.2	1-69641	15	0	15	0
BGC0000177	GQ274953.1	1-53336	11	0	0	11
BGC0000178	HQ680975.1	1-78240	20	0	0	16
BGC0000179	AM746676.1	4373490-4469286	16	0	7	7
BGC0000180	KM222819.1	4550-31415	8	0	0	1
BGC0000181	AJ634061.2	1-54840	10	0	9	0
BGC0000182	AF318063.3	1-75137	36	0	0	36
BGC0000183	GQ262808.1	1-679	1	0	0	0
BGC0000184	HM584908.1	1-148058	23	0	0	10
BGC0000185	CP001614.2	2282355-2332601	10	0	0	0
BGC0000186	CP000085.1	1950416-2036975	19	0	0	3
BGC0000187	GQ926890.1	1-63922	62	0	0	62
BGC0000188	DQ787200.1	1-37606	34	0	0	34
BGC0000189	FN667741.1	3771005-3779127	8	0	4	2
BGC0000190	GU937384.1	1-28713	29	0	0	0
BGC0000191	AB008466.1	1-25883	25	0	0	0
BGC0000192	AF257324.2	1-15155	15	0	0	0
BGC0000193	AF264025.1	1-14807	13	0	0	0
BGC0000194	AL645882.2	5513809-5535091	22	0	0	22
BGC0000195	EU852062.1	1-31030	32	0	0	6
BGC0000196	BX470251.1	4897935-4907928	8	0	1	8
BGC0000197	DQ915964.1	1-35936	23	0	0	23
BGC0000198	NZ_AZXI01000002.1	3084-41108	40	0	8	17
BGC0000199	KF040454.1	1-40894	37	0	0	37
BGC0000200	KF931341.1	1-31965	35	0	0	35
BGC0000201	KJ396772.1	58195-86722	29	0	3	3
BGC0000202	GU134622.1	1-50393	45	0	0	0
BGC0000203	HM055942.1	1-48405	42	0	0	0
BGC0000204	AM501485.1	1-17480	12	0	0	3
BGC0000205	DQ889942.1	1-10111	6	0	0	0
BGC0000206	AJ786382.1	1-19580	21	0	1	0
BGC0000207	AJ786383.1	1-17540	13	0	0	0
BGC0000208	KC870000.1	1-38745	18	0	0	0
BGC0000209	HM627755.1	1-41528	35	0	0	0
BGC0000210	AJ578458.1	1-42074	36	0	0	12
BGC0000211	FN565166.1	1-34654	35	0	0	0
BGC0000212	GG770539.1	5086070-5121186	35	0	0	0
BGC0000213	KF850685.1	1-46538	44	0	0	44
BGC0000214	DQ280500.1	1-14080	14	0	0	0
BGC0000215	X62518.1	1-5469	7	0	0	0
BGC0000216	JX262387.1	1-50689	38	0	0	0
BGC0000217	L34880.1	1-8089	9	0	0	0
BGC0000218	L35560.1	1-8737	9	0	0	0
BGC0000219	AM900040.1	1-24201	25	0	0	3
BGC0000220	AF254925.1	1-22511	20	0	0	0
BGC0000221	FJ719113.1	1-20999	25	0	0	0
BGC0000222	AB469194.1	1-43026	46	0	0	0
BGC0000223	HM193369.1	1-66898	65	0	0	65
BGC0000224	AF525490.2	1-33064	33	0	0	28
BGC0000225	AF058302.1	1-25306	22	0	0	0
BGC0000226	AY233211.2	1-33846	27	0	0	0
BGC0000227	AJ011500.1	1-39250	37	0	0	0
BGC0000228	X16300.1	1-5820	6	0	0	0
BGC0000229	KC962511.1	1-41909	34	0	0	30
BGC0000230	AF509565.1	1-36905	33	0	0	33
BGC0000231	X77865.1	1-5364	5	0	0	0
BGC0000232	AB524586.1	1-34927	33	0	0	0
BGC0000233	AY196994.1	1-45603	32	0	0	0
BGC0000234	AF126429.1	1-7064	7	0	0	0
BGC0000235	AGSW01000147.1	118282-139606	20	0	0	0
BGC0000236	AY228175.1	1-34564	35	0	0	0
BGC0000237	EU147299.1	1-12707	15	0	0	0
BGC0000238	EU147298.1	1-61508	57	0	0	0
BGC0000239	AF080235.1	1-34644	32	0	1	10
BGC0000240	KF731828.1	1-75641	65	0	0	65
BGC0000241	CP000667.1	2460444-2522674	58	0	0	58
BGC0000242	AM492533.1	1-43202	46	0	0	0
BGC0000243	AF263011.1	1-15833	12	0	0	0
BGC0000244	AF263012.1	1-10029	6	0	0	0
BGC0000245	AB103463.1	1-36202	36	0	0	0
BGC0000246	AJ007932.2	1-18977	18	0	0	0
BGC0000247	X89899.2	1-42374	35	0	0	16
BGC0000248	AF098965.1	1-5500	4	0	0	0
BGC0000249	AF323753.1	1-12637	10	0	0	0
BGC0000250	AJ224512.2	1-19632	16	0	4	6
BGC0000251	BD251846.1	1-16020	0	16	0	0
BGC0000252	AF074603.2	1-15559	14	0	0	0
BGC0000253	AJ632203.2	1-24720	24	0	0	4
BGC0000254	DQ143963.2	1-25222	20	0	0	0
BGC0000255	AY850690.1	1-10000	8	0	0	0
BGC0000256	EF151801.1	1-37100	28	0	0	0
BGC0000257	AB469822.1	1-49025	24	0	0	0
BGC0000258	AJ833001.1	1-25055	17	0	0	0
BGC0000259	AJ833002.1	1-24834	16	0	0	0
BGC0000260	DQ266254.1	1-35739	26	0	0	0
BGC0000261	AF293442.1	1-17200	14	0	0	0
BGC0000262	AY034378.2	1-54042	48	0	0	4
BGC0000263	FN565485.1	1-32801	35	0	0	0
BGC0000264	AJ585192.1	1-16662	18	0	0	4
BGC0000265	U10405.2	1-12970	12	0	0	0
BGC0000266	AF293355.2	1-32634	25	0	0	0
BGC0000267	FJ670504.1	1-36648	34	0	0	0
BGC0000268	AJ628018.2	1-77550	55	0	0	0
BGC0000269	GQ409537.1	1-53273	46	0	0	46
BGC0000270	AF322256.1	1-39428	38	0	0	0
BGC0000271	AB070937.1	1-11118	12	0	0	0
BGC0000272	AF293354.1	1-8927	7	0	0	0
BGC0000273	AM156932.1	1-42877	36	0	0	2
BGC0000274	JX843821.1	1-34510	35	0	0	35
BGC0000275	M80674.1	1-13123	12	0	0	12
BGC0000276	AF164961.1	1-11790	9	0	6	3
BGC0000277	AF164961.1	1-11790	9	0	0	0
BGC0000278	AF269227.1	1-5408	5	0	0	0
BGC0000279	GQ421798.1	1-52255	49	0	0	0
BGC0000280	AF497760.1	1-6033	6	0	0	6
BGC0000281	DQ083928.1	1-8137	8	0	0	0
BGC0000282	AP009493.1	548718-551330	3	0	0	0
BGC0000283	EF120454.2	1-46201	31	0	0	31
BGC0000284	CP001157.1	3041749-3053697	4	0	0	0
BGC0000285	AY078067.1	1-11124	9	0	0	3
BGC0000286	AB183750.1	1-19462	15	0	0	0
BGC0000287	AE004091.2	2532059-2549458	10	0	0	0
BGC0000288	AB538860.1	1-80953	55	0	0	0
BGC0000289	AJ561198.1	1-89153	55	0	0	55
BGC0000290	U82965.2	1-69301	34	0	0	1
BGC0000291	DQ118863.1	1-126933	60	0	0	0
BGC0000292	CH476597.1	1891389-1919011	10	0	0	0
BGC0000293	DS027698.1	2428387-2441151	3	0	0	0
BGC0000294	AB101202.1	1-32436	23	0	0	0
BGC0000295	AB661448.1	1-13141	10	0	0	0
BGC0000296	HM038106.1	1-66086	28	0	0	0
BGC0000297	AM071396.2	1-31449	17	0	0	5
BGC0000298	FJ609416.1	1-25401	14	0	0	1
BGC0000299	MIBIG:BGC0000299.1	1-39438	22	0	0	0
BGC0000300	GG657746.1	2722391-2757628	16	0	0	0
BGC0000301	EF672686.1	1-23949	5	0	0	0
BGC0000302	GU174493.1	1-36200	7	0	0	0
BGC0000303	EU195114.1	1-33150	25	0	0	0
BGC0000304	GQ331953.1	1-63164	11	0	0	0
BGC0000305	AB107223.1	1-40430	6	0	0	3
BGC0000306	ABYX02000001.1	6273710-6304320	9	0	0	9
BGC0000307	EU886741.1	1-35683	1	0	0	0
BGC0000308	CP002120.1	176051-183901	2	0	0	0
BGC0000309	AL009126.3	3278325-3297919	13	0	0	0
BGC0000310	AF007865.2	1-48774	9	0	0	0
BGC0000311	Y16952.3	1-66669	37	0	0	0
BGC0000312	FJ439897.1	1-41205	15	0	0	0
BGC0000313	EU886196.1	1-33475	10	0	0	0
BGC0000314	NZ_AHCC01000002.1	204471-238338	14	0	0	14
BGC0000315	AL645882.2	3519449-3602320	40	0	0	40
BGC0000316	EF472579.1	1-44141	32	0	0	0
BGC0000317	JPKY01000002.1	71175-98055	7	0	0	0
BGC0000318	JPKY01000040.1	130387-136157	2	0	0	0
BGC0000319	DS570624.1	142995-177446	19	0	0	17
BGC0000320	DQ360825.1	1-35864	14	0	0	14
BGC0000321	KF496217.1	1-43979	0	15	1	0
BGC0000322	AJ223999.1	1-34244	9	0	0	0
BGC0000323	KJ513093.1	1-33153	6	0	0	6
BGC0000324	AL645882.2	8504461-8529581	11	0	0	0
BGC0000325	AL645882.2	510823-533448	11	0	0	0
BGC0000326	AF386507.1	1-55972	16	0	0	0
BGC0000327	AM238664.2	1082965-1112107	22	0	0	0
BGC0000328	AY391839.1	1-6497	8	0	0	0
BGC0000329	KF192265.2	1-21538	11	0	0	0
BGC0000330	AM260480.1	1886949-1923310	17	0	0	17
BGC0000331	DQ837301.1	1-31593	4	0	0	0
BGC0000332	DQ075244.1	1-31880	7	0	0	0
BGC0000333	CP000850.1	5140169-5187645	23	0	1	0
BGC0000334	AOHE01000006.1	2841-45420	0	2	0	0
BGC0000335	KJ710244.1	1-37509	10	0	0	0
BGC0000336	AY787762.1	1-127559	64	0	0	0
BGC0000337	GL698760.1	1-106198	0	21	25	0
BGC0000338	JX421684.1	1-120292	23	0	6	12
BGC0000339	AB211309.1	1-45600	18	0	0	0
BGC0000340	KJ156360.1	1-18739	17	0	0	0
BGC0000341	DQ403252.1	1-116000	48	0	0	0
BGC0000342	Z18755.3	1-10934	1	0	0	0
BGC0000343	GQ370384.1	1-34054	25	0	0	0
BGC0000344	CT573326.1	3211816-3277103	23	0	0	0
BGC0000345	KF647220.1	1-25783	14	0	0	11
BGC0000346	KF647219.1	1-29930	8	0	0	6
BGC0000347	AM909652.1	36024-59836	14	0	0	0
BGC0000348	EF125025.1	1-19379	6	0	0	0
BGC0000349	AM420293.1	3324848-3348992	7	0	0	0
BGC0000350	HQ609499.1	1-35392	25	0	0	3
BGC0000351	AF034152.1	1-15223	3	0	0	0
BGC0000352	CR543861.1	2699483-2725713	17	0	0	16
BGC0000353	AF082100.1	1-28732	3	0	0	0
BGC0000354	AJ488769.3	1-70820	33	0	0	0
BGC0000355	CM000174.1	3010494-3035305	5	0	0	5
BGC0000356	AB436628.1	1-27708	9	0	0	8
BGC0000357	AM920431.1	1080827-1099362	1	0	0	1
BGC0000358	EU431181.2	1-32680	8	0	0	0
BGC0000359	CP000088.1	2172724-2196882	9	0	0	0
BGC0000360	FN821996.1	1-55651	28	0	0	0
BGC0000361	AAHF01000006.1	1054011-1054627	1	0	13	1
BGC0000362	AF143772.2	1-71286	39	0	0	0
BGC0000363	AM231612.1	1-39983	19	0	0	0
BGC0000364	AM231618.1	1-40072	19	0	0	0
BGC0000365	AY439015.3	1-67229	30	0	0	0
BGC0000366	KC215181.1	1-36842	18	0	0	0
BGC0000367	AP008955.1	3011718-3073069	12	0	0	0
BGC0000368	FN545130.1	1-26478	17	0	0	0
BGC0000369	KJ502174.1	1-67299	32	0	0	32
BGC0000370	M98024.2	1-16752	1	0	7	1
BGC0000371	AP008957.1	2888228-2910756	11	0	0	0
BGC0000372	CM000171.1	3423866-3446129	8	0	0	8
BGC0000373	CM000913.1	6204480-6222797	13	0	0	0
BGC0000374	HQ542230.1	1-51499	23	0	0	23
BGC0000375	JX499187.1	1-9457	5	0	0	0
BGC0000376	AB902962.1	1-43673	24	0	0	0
BGC0000377	JF828091.1	1-30538	8	0	0	0
BGC0000378	EU074211.1	1-56081	29	0	0	0
BGC0000379	HM756254.1	1-88912	43	0	0	0
BGC0000380	HM639990.1	1-80175	35	0	0	18
BGC0000381	AE017333.1	370023-408881	14	0	0	0
BGC0000382	KJ872771.1	1-19400	14	0	0	0
BGC0000383	BX470251.1	2221617-2239965	5	0	0	2
BGC0000384	AY588942.1	1-17000	4	0	4	0
BGC0000385	JF412274.1	1-150063	91	0	0	0
BGC0000386	CP000085.1	2748130-2778630	27	0	1	0
BGC0000387	DQ532441.1	1-11103	7	0	0	0
BGC0000388	AY735112.1	1-48200	27	0	0	0
BGC0000389	EU199081.2	11695-35942	2	0	1	2
BGC0000391	JN634585.1	1-14231	7	0	0	3
BGC0000392	CP001630.1	3113324-3141040	14	0	0	0
BGC0000393	CP000113.1	4498820-4546737	3	0	0	1
BGC0000394	JQ996389.1	1-51977	28	0	0	0
BGC0000395	AY541063.1	1-33451	14	0	0	0
BGC0000396	JF342711.1	1-14288	4	0	0	0
BGC0000397	AY167420.1	1-34328	7	0	0	0
BGC0000398	JQ309921.1	1-45376	10	0	0	7
BGC0000399	CP000076.1	2364934-2411953	17	0	0	0
BGC0000400	JX899679.1	1-52556	5	0	0	0
BGC0000401	HQ668144.1	1-12882	6	0	0	0
BGC0000402	CP003355.1	1841078-1878357	4	0	0	0
BGC0000403	JQ745271.1	1-40806	8	0	0	0
BGC0000404	DQ192518.1	1-56820	16	0	0	0
BGC0000405	EF601124.1	1-59497	16	0	0	16
BGC0000406	X65195.2	1-37823	29	0	1	12
BGC0000407	JQ073773.1	1-49123	13	0	0	0
BGC0000408	EU371992.1	1-41040	5	0	0	0
BGC0000409	HQ872605.1	1-54514	34	0	0	0
BGC0000410	EF484930.1	1-16011	10	0	0	0
BGC0000411	DQ151887.2	1-46846	8	0	0	0
BGC0000412	AF074705.2	1-15023	5	0	0	0
BGC0000413	CP000076.1	4702146-4877199	109	0	0	0
BGC0000414	AB819321.1	1-48769	24	0	0	0
BGC0000415	JN852959.1	1-36568	17	0	0	0
BGC0000416	FN667742.1	2154724-2170060	3	0	3	0
BGC0000417	CP000431.1	2443456-2455531	6	0	0	0
BGC0000418	KJ364518.1	1-80193	39	0	0	0
BGC0000419	CP008953.1	6816619-6885328	39	0	5	34
BGC0000420	AM920436.1	3638081-3658739	7	0	0	7
BGC0000421	AY061859.1	1-17974	10	0	0	0
BGC0000422	DQ838002.1	1-62804	47	0	0	0
BGC0000423	FN554889.1	9541287-9571306	10	0	0	0
BGC0000424	CP002039.1	2645251-2687402	13	0	0	13
BGC0000425	JQ309920.1	1-69799	9	0	0	9
BGC0000426	KF318360.1	1-11658	2	0	0	2
BGC0000427	CP000117.1	4798900-4805360	4	0	0	4
BGC0000428	FJ768674.1	1-32713	26	0	0	0
BGC0000429	JF430460.1	1-86806	49	0	0	49
BGC0000430	CP007203.2	4953880-4975880	7	0	0	0
BGC0000431	DS999644.1	870145-925039	22	0	0	22
BGC0000432	AB684619.1	1-34051	24	0	0	0
BGC0000433	AJ575642.1	1-41884	23	0	2	9
BGC0000434	AB375771.1	1-55697	28	0	0	0
BGC0000435	AE016853.1	3151815-3184002	6	0	0	0
BGC0000436	AJVM01000074.1	7793-28527	7	0	0	0
BGC0000437	CP000075.1	3060225-3182922	17	0	0	0
BGC0000438	AF286216.2	1-73800	3	0	0	0
BGC0000439	KF301601.1	1-76640	30	0	0	18
BGC0000440	AJ605139.1	1-89713	53	0	0	39
BGC0000441	AJ632270.1	1-89976	49	0	0	0
BGC0000442	BN001305.1	732113-741871	5	0	0	0
BGC0000443	HQ888764.1	1-40038	11	0	5	0
BGC0000444	AY707081.1	12536-33158	11	0	0	0
BGC0000445	AM113472.1	1-64650	38	0	0	1
BGC0000446	HG425356.1	1-25846	18	0	1	17
BGC0000447	HE967327.1	1-69124	10	0	0	1
BGC0000448	FJ768957.1	1-25954	17	0	0	0
BGC0000449	KF111342.1	1-58360	5	0	0	0
BGC0000450	AB366635.1	1-36746	18	0	0	0
BGC0000451	CP001614.2	4483386-4507022	13	0	0	0
BGC0000452	AP008955.1	2867472-2916558	16	0	0	0
BGC0000453	DQ174261.1	1-39345	18	0	0	2
BGC0000454	AM168450.2	1-19890	10	0	0	0
BGC0000455	HQ679900.1	1-65044	34	0	0	0
BGC0000456	AB862312.1	1-26762	1	0	0	0
BGC0000457	CP000138.1	511806-523079	9	0	0	0
BGC0000458	AY263398.1	1-36401	21	0	0	0
BGC0000459	JX508597.1	13530-118200	36	0	1	35
BGC0000460	AE016796.2	890623-914333	16	0	0	0
BGC0000461	JN596952.1	1-63720	10	0	0	0
BGC0000462	JN982332.1	1-12151	6	0	4	3
BGC0000463	KC297506.1	4624-47830	4	0	3	4
BGC0000464	FO704550.1	2329335-2435321	24	0	0	1
BGC0000465	FN667742.1	2235579-2245621	2	0	0	2
BGC0000466	JF429418.1	1-35805	31	0	0	0
BGC0000467	Y12527.1	1-13629	4	0	0	0
BGC0000468	HE983629.1	1377-18956	13	0	0	0
BGC0000469	JX235926.1	1-39920	33	0	0	0
BGC0000470	JX827389.1	1-26921	11	0	0	0
BGC0000471	CP003614.1	4308240-4321209	8	0	0	8
BGC0000472	FJ461733.2	1-13708	14	0	0	11
BGC0000473	AM774406.1	1-13853	9	0	0	0
BGC0000474	AM931579.1	1-12600	9	0	0	0
BGC0000475	AY986476.1	1-12693	8	0	0	0
BGC0000476	DQ869558.1	1-242	1	0	0	0
BGC0000477	EU290742.1	1-11073	8	0	0	0
BGC0000478	EU290743.1	1-204	1	0	0	0
BGC0000479	HQ655154.1	1-13422	23	0	0	0
BGC0000480	EU290741.1	1-11821	7	0	0	0
BGC0000481	NZ_AABK04000003.1	788201-800715	11	0	0	0
BGC0000482	EU290744.1	1-246	1	0	0	0
BGC0000483	CAIH01000183.1	1-14400	6	0	2	6
BGC0000484	GU552553.1	1-6789	8	0	0	0
BGC0000485	Z34920.1	1-2200	3	0	0	0
BGC0000486	AF076529.2	1-6307	8	0	0	0
BGC0000487	EU624394.2	1-12140	15	0	0	0
BGC0000488	AJ566621.1	1-11388	12	0	0	0
BGC0000489	Y12234.1	1-6466	8	0	0	0
BGC0000490	AMQS01000001.1	91715-95513	6	0	0	0
BGC0000491	AB007043.2	1-4100	7	0	0	0
BGC0000492	AB462499.1	1-300	1	0	0	0
BGC0000493	AB649282.1	1-300	1	0	0	0
BGC0000494	DQ650653.1	1-7008	7	0	0	0
BGC0000495	FJ547091.1	1-38168	32	0	0	0
BGC0000496	AP009493.1	2822113-2829457	5	0	0	0
BGC0000497	DQ145752.1	1-11249	8	0	0	0
BGC0000498	EU497962.2	1-14995	15	0	0	0
BGC0000499	AF062647.2	1-4733	6	0	0	0
BGC0000500	KF573751.1	1-8863	7	0	0	0
BGC0000501	CP001700.1	4809160-4816367	5	0	0	5
BGC0000502	KJ000001.1	1-16018	17	0	0	0
BGC0000503	AJ536588.1	1-17083	21	0	0	21
BGC0000504	L37110.1	1-7500	5	0	0	0
BGC0000505	AB600897.1	1-480	2	0	0	0
BGC0000506	HQ871873.1	1-14098	11	0	0	0
BGC0000507	Y14023.1	1-7358	7	0	0	0
